Entity,Code,Day,daily_vaccinations
Arizona,,2021/5/13,33915
Arizona,,2021/5/14,31473
Arizona,,2021/5/15,31519
Arizona,,2021/5/16,32248
Arizona,,2021/5/17,29486
Arizona,,2021/5/18,26387
Arizona,,2021/5/19,27498
Arizona,,2021/5/20,27137
Arizona,,2021/5/21,28112
Arizona,,2021/5/22,29454
Arizona,,2021/5/23,28973
Arizona,,2021/5/24,30154
Arizona,,2021/5/25,29402
Arizona,,2021/5/26,27544
Arkansas,,2021/1/13,53975
Arkansas,,2021/1/14,33718
Arkansas,,2021/1/15,25820
Arkansas,,2021/1/16,20865
Arkansas,,2021/1/17,17892
Arkansas,,2021/1/18,15910
Arkansas,,2021/1/19,14494
Arkansas,,2021/1/20,11208
Arkansas,,2021/1/21,9285
Arkansas,,2021/1/22,11905
Arkansas,,2021/1/23,11048
Arkansas,,2021/1/24,11986
Arkansas,,2021/1/25,12108
Arkansas,,2021/1/26,13422
Arkansas,,2021/1/27,11359
Arkansas,,2021/1/28,11359
Arkansas,,2021/1/29,9760
Arkansas,,2021/1/30,12425
Arkansas,,2021/1/31,12793
Arkansas,,2021/2/1,12876
Arkansas,,2021/2/2,11169
Arkansas,,2021/2/3,9946
Arkansas,,2021/2/4,12200
Arkansas,,2021/2/5,11597
Arkansas,,2021/2/6,12289
Arkansas,,2021/2/7,12807
Arkansas,,2021/2/8,12919
Arkansas,,2021/2/9,12808
Arkansas,,2021/2/10,13658
Arkansas,,2021/2/11,13225
Arkansas,,2021/2/12,13710
Arkansas,,2021/2/13,11816
Arkansas,,2021/2/14,11299
Arkansas,,2021/2/15,10903
Arkansas,,2021/2/16,11330
Arkansas,,2021/2/17,9842
Arkansas,,2021/2/18,8562
Arkansas,,2021/2/19,10018
Arkansas,,2021/2/20,9074
Arkansas,,2021/2/21,7990
Arkansas,,2021/2/22,8204
Arkansas,,2021/2/23,8108
Arkansas,,2021/2/24,9645
Arkansas,,2021/2/25,11688
Arkansas,,2021/2/26,11531
Arkansas,,2021/2/27,14537
Arkansas,,2021/2/28,17263
Arkansas,,2021/3/1,18023
Arkansas,,2021/3/2,18660
Arkansas,,2021/3/3,18995
Arkansas,,2021/3/4,18831
Arkansas,,2021/3/5,17967
Arkansas,,2021/3/6,17353
Arkansas,,2021/3/7,16564
Arkansas,,2021/3/8,15969
Arkansas,,2021/3/9,15991
Arkansas,,2021/3/10,15964
Arkansas,,2021/3/11,13675
Arkansas,,2021/3/12,16122
Arkansas,,2021/3/13,19784
Arkansas,,2021/3/14,16767
Arkansas,,2021/3/15,17033
Arkansas,,2021/3/16,16330
Arkansas,,2021/3/17,16211
Arkansas,,2021/3/18,18539
Arkansas,,2021/3/19,16616
Arkansas,,2021/3/20,13192
Arkansas,,2021/3/21,16694
Arkansas,,2021/3/22,16570
Arkansas,,2021/3/23,16479
Arkansas,,2021/3/24,17120
Arkansas,,2021/3/25,18064
Arkansas,,2021/3/26,19037
Arkansas,,2021/3/27,19925
Arkansas,,2021/3/28,20629
Arkansas,,2021/3/29,20738
Arkansas,,2021/3/30,20956
Arkansas,,2021/3/31,21542
Arkansas,,2021/4/1,21951
Arkansas,,2021/4/2,22557
Arkansas,,2021/4/3,27298
Arkansas,,2021/4/4,23274
Arkansas,,2021/4/5,23189
Arkansas,,2021/4/6,23719
Arkansas,,2021/4/7,23990
Arkansas,,2021/4/8,24232
Arkansas,,2021/4/9,23095
Arkansas,,2021/4/10,19233
Arkansas,,2021/4/11,23211
Arkansas,,2021/4/12,23244
Arkansas,,2021/4/13,22724
Arkansas,,2021/4/14,22439
Arkansas,,2021/4/15,22221
Arkansas,,2021/4/16,22285
Arkansas,,2021/4/17,20800
Arkansas,,2021/4/18,20359
Arkansas,,2021/4/19,19942
Arkansas,,2021/4/20,20109
Arkansas,,2021/4/21,19587
Arkansas,,2021/4/22,18842
Arkansas,,2021/4/23,18072
Arkansas,,2021/4/24,17377
Arkansas,,2021/4/25,16135
Arkansas,,2021/4/26,16576
Arkansas,,2021/4/27,16081
Arkansas,,2021/4/28,15427
Arkansas,,2021/4/29,15008
Arkansas,,2021/4/30,14151
Arkansas,,2021/5/1,13769
Arkansas,,2021/5/2,14201
Arkansas,,2021/5/3,13644
Arkansas,,2021/5/4,13845
Arkansas,,2021/5/5,13162
Arkansas,,2021/5/6,12634
Arkansas,,2021/5/7,12152
Arkansas,,2021/5/8,11696
Arkansas,,2021/5/9,10835
Arkansas,,2021/5/10,10766
Arkansas,,2021/5/11,10776
Arkansas,,2021/5/12,10532
Arkansas,,2021/5/13,9737
Arkansas,,2021/5/14,9520
Arkansas,,2021/5/15,9848
Arkansas,,2021/5/16,9549
Arkansas,,2021/5/17,9301
Arkansas,,2021/5/18,9089
Arkansas,,2021/5/19,8822
Arkansas,,2021/5/20,8921
Arkansas,,2021/5/21,9128
Arkansas,,2021/5/22,8748
Arkansas,,2021/5/23,8347
Arkansas,,2021/5/24,8487
Arkansas,,2021/5/25,8383
Arkansas,,2021/5/26,8692
Bureau of Prisons,,2021/1/13,1031
Bureau of Prisons,,2021/1/14,728
Bureau of Prisons,,2021/1/15,674
Bureau of Prisons,,2021/1/16,564
Bureau of Prisons,,2021/1/17,499
Bureau of Prisons,,2021/1/18,455
Bureau of Prisons,,2021/1/19,424
Bureau of Prisons,,2021/1/20,483
Bureau of Prisons,,2021/1/21,674
Bureau of Prisons,,2021/1/22,661
Bureau of Prisons,,2021/1/23,918
Bureau of Prisons,,2021/1/24,989
Bureau of Prisons,,2021/1/25,995
Bureau of Prisons,,2021/1/26,1126
Bureau of Prisons,,2021/1/27,1179
Bureau of Prisons,,2021/1/28,1097
Bureau of Prisons,,2021/1/29,1206
Bureau of Prisons,,2021/1/30,1086
Bureau of Prisons,,2021/1/31,1029
Bureau of Prisons,,2021/2/1,989
Bureau of Prisons,,2021/2/2,977
Bureau of Prisons,,2021/2/3,990
Bureau of Prisons,,2021/2/4,1097
Bureau of Prisons,,2021/2/5,1201
Bureau of Prisons,,2021/2/6,1239
Bureau of Prisons,,2021/2/7,1293
Bureau of Prisons,,2021/2/8,1293
Bureau of Prisons,,2021/2/9,1242
Bureau of Prisons,,2021/2/10,1214
Bureau of Prisons,,2021/2/11,1140
Bureau of Prisons,,2021/2/12,1065
Bureau of Prisons,,2021/2/13,1044
Bureau of Prisons,,2021/2/14,1033
Bureau of Prisons,,2021/2/15,1071
Bureau of Prisons,,2021/2/16,1007
Bureau of Prisons,,2021/2/17,838
Bureau of Prisons,,2021/2/18,696
Bureau of Prisons,,2021/2/19,614
Bureau of Prisons,,2021/2/20,592
Bureau of Prisons,,2021/2/21,672
Bureau of Prisons,,2021/2/22,646
Bureau of Prisons,,2021/2/23,665
Bureau of Prisons,,2021/2/24,731
Bureau of Prisons,,2021/2/25,864
Bureau of Prisons,,2021/2/26,1069
Bureau of Prisons,,2021/2/27,1166
Bureau of Prisons,,2021/2/28,1145
Bureau of Prisons,,2021/3/1,1134
Bureau of Prisons,,2021/3/2,1180
Bureau of Prisons,,2021/3/3,1288
Bureau of Prisons,,2021/3/4,1611
Bureau of Prisons,,2021/3/5,1819
Bureau of Prisons,,2021/3/6,1789
Bureau of Prisons,,2021/3/7,1699
Bureau of Prisons,,2021/3/8,1699
Bureau of Prisons,,2021/3/9,1648
Bureau of Prisons,,2021/3/10,1501
Bureau of Prisons,,2021/3/11,1407
Bureau of Prisons,,2021/3/12,1238
Bureau of Prisons,,2021/3/13,1275
Bureau of Prisons,,2021/3/14,1216
Bureau of Prisons,,2021/3/15,1216
Bureau of Prisons,,2021/3/16,1214
Bureau of Prisons,,2021/3/17,1242
Bureau of Prisons,,2021/3/18,1139
Bureau of Prisons,,2021/3/19,1078
Bureau of Prisons,,2021/3/20,1046
Bureau of Prisons,,2021/3/21,1168
Bureau of Prisons,,2021/3/22,1196
Bureau of Prisons,,2021/3/23,1171
Bureau of Prisons,,2021/3/24,1199
Bureau of Prisons,,2021/3/25,1571
Bureau of Prisons,,2021/3/26,1796
Bureau of Prisons,,2021/3/27,1879
Bureau of Prisons,,2021/3/28,1846
Bureau of Prisons,,2021/3/29,1819
Bureau of Prisons,,2021/3/30,1808
Bureau of Prisons,,2021/3/31,1679
Bureau of Prisons,,2021/4/1,1757
Bureau of Prisons,,2021/4/2,1723
Bureau of Prisons,,2021/4/3,1516
Bureau of Prisons,,2021/4/4,1488
Bureau of Prisons,,2021/4/5,1488
Bureau of Prisons,,2021/4/6,1489
Bureau of Prisons,,2021/4/7,1616
Bureau of Prisons,,2021/4/8,1738
Bureau of Prisons,,2021/4/9,1730
Bureau of Prisons,,2021/4/10,2023
Bureau of Prisons,,2021/4/11,2100
Bureau of Prisons,,2021/4/12,2104
Bureau of Prisons,,2021/4/13,2108
Bureau of Prisons,,2021/4/14,2155
Bureau of Prisons,,2021/4/15,1281
Bureau of Prisons,,2021/4/16,1227
Bureau of Prisons,,2021/4/17,1007
Bureau of Prisons,,2021/4/18,917
Bureau of Prisons,,2021/4/19,913
Bureau of Prisons,,2021/4/20,903
Bureau of Prisons,,2021/4/21,826
Bureau of Prisons,,2021/4/22,1271
Bureau of Prisons,,2021/4/23,1168
Bureau of Prisons,,2021/4/24,1280
Bureau of Prisons,,2021/4/25,1315
Bureau of Prisons,,2021/4/26,1315
Bureau of Prisons,,2021/4/27,1308
Bureau of Prisons,,2021/4/28,1321
Bureau of Prisons,,2021/4/29,1514
Bureau of Prisons,,2021/4/30,1618
Bureau of Prisons,,2021/5/1,1664
Bureau of Prisons,,2021/5/2,1651
Bureau of Prisons,,2021/5/3,1651
Bureau of Prisons,,2021/5/4,1651
Bureau of Prisons,,2021/5/5,1634
Bureau of Prisons,,2021/5/6,1456
Bureau of Prisons,,2021/5/7,1431
Bureau of Prisons,,2021/5/8,1093
Bureau of Prisons,,2021/5/9,1382
Bureau of Prisons,,2021/5/10,1382
Bureau of Prisons,,2021/5/11,1384
Bureau of Prisons,,2021/5/12,1327
Bureau of Prisons,,2021/5/13,1122
Bureau of Prisons,,2021/5/14,714
Bureau of Prisons,,2021/5/15,1307
Bureau of Prisons,,2021/5/16,1041
Bureau of Prisons,,2021/5/17,1041
Bureau of Prisons,,2021/5/18,1043
Bureau of Prisons,,2021/5/19,1111
Bureau of Prisons,,2021/5/20,1081
